RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition	FDCIO162	FDCIO164	Designator FDCIO162	Designator FDCIO164	Cell	Height	X_Cor	Y_Cor	Rotation	PlacementSide	Technology	PartListExclude
H202	TP241,TP243	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED			H160,H200-H202,H402-H403	H160,H200-H203,H400-H403	LED_0603	0.67	39.3	22.3	0	Top	SMD	
H203	TP242,TP244	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED	Unplaced		H160,H200-H202,H402-H403	H160,H200-H203,H400-H403	LED_0603	0.67	45.3	22.3	0	Top	SMD	
H400	TP154,TP407	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED	Unplaced		H160,H200-H202,H402-H403	H160,H200-H203,H400-H403	LED_0603	0.67	33.3	22.3	0	Top	SMD	
H401	TP154,TP409	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED	Unplaced		H160,H200-H202,H402-H403	H160,H200-H203,H400-H403	LED_0603	0.67	30.3	22.3	0	Top	SMD	
H402	TP154,TP411	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED			H160,H200-H202,H402-H403	H160,H200-H203,H400-H403	LED_0603	0.67	27.3	22.3	0	Top	SMD	
H403	TP154,TP413	A5Q00004063/002;1-DIODE_LED_(INCL. LASER / IR..)_RED_ x 9		A5Q00004063	LED			H160,H200-H202,H402-H403	H160,H200-H203,H400-H403	LED_0603	0.67	24.3	22.3	0	Top	SMD	
K200	TP226,TP225	A5Q20008414/A;1-RLY_SIGNAL_MONOSTABLE_DC_12V_000002_C/O_ x 1		A5Q20008414	Relay		Unplaced	K200	#N/A	REL_2CO_G6S-2F_15.0x7.5	9.5	58.9	25.7	270	Top	SMD	
N140		A5Q20007790/C;1-IC_REG_LIN_SOT-23-5_SMD x 2		A5Q20007790	IC			N140,N400	N140,N400	SOT23-5	1.45	37.8	49.4	90	Bottom	SMD	
N160		A5Q20008354/A;1-IC_OTHER_2.5V-5.5V_max 25Mbps_SO-08_SMD x 1		A5Q20008354	IC			N160	N160	SO-8_5x4_1.27	1.75	46.4	44.6	180	Top	SMD	
N400		A5Q20007790/C;1-IC_REG_LIN_SOT-23-5_SMD x 2		A5Q20007790	IC			N140,N400	N140,N400	SOT23-5	1.45	48.9	10.1	270	Top	SMD	
R110	TP101,TP133	A5Q20001692/B;1-RES_CHIP_10R_+-1%_500mW_1206_SMD x 1		A5Q20001692	Resistor			R110	R110	R1206	0.75	12.6	56.8	0	Bottom	SMD	
R111	TP112,TP106	A5Q00027041/01;1-RES_0402_4.7K_1%_0.063W_100PPM_CHIP SM x 1		A5Q00027041	Resistor			R111	R111	R0402	0.4	19.6	61.8	90	Bottom	SMD	
R112	TP115,TP117	A5Q00008501/01;1-RES_0402_47K_1%_0.063W_100PPM_CHIP SM x 3		A5Q00008501	Resistor			R112,R160,R401	R112,R160,R401	R0402	0.4	18.3	61.8	90	Bottom	SMD	
R120	TP113,TP118	A5Q00004646/01;1-RES_CHIP_100R_+-1%_250mW_1206_SMD x 1		A5Q00004646	Resistor			R120	R120	R1206	0.75	20.8	55.5	180	Top	SMD	
R121	TP127,TP128	A5Q00008476/01;1-RES_MFILM_1K_1%_0.063W_100PPM_0402_SMT x 1		A5Q00008476	Resistor			R121	R121	R0402	0.4	25	49.46	270	Bottom	SMD	
R131	TP129,TP113	A5Q00004556/01;1-RES_MET_FLM_2M74_+-1%_250mW_0204MELF_SMD x 1		A5Q00004556	Resistor			R131	R131	R0204_MMELF_3516	1.4	25.2	48.8	180	Top	SMD	
R132	TP106,TP129	A5Q00004631/01;1-RES_MET_FLM_237K_+-1%_250mW_0204MELF_SMD x 1		A5Q00004631	Resistor			R132	R132	R0204_MMELF_3516	1.4	31.1	48.8	0	Top	SMD	
