RefDes	TPs	Description	Parallel Capacitor	PartNr	Partition	FDCIO162	FDCIO164	Designator FDCIO162	Designator FDCIO164	Cell	Height	X_Cor	Y_Cor	Rotation	PlacementSide	Technology	PartListExclude
V303	TP317,TP329,TP321,TP318,TP204,TP322	A5Q20008932/A;1-TRANS_FET_E_P_60V_500mA_4R_SC-89_SMD x 2		A5Q20008932	Mosfet	Unplaced		V302	V302-V303	SOT563	0.6	59	42.6	180	Bottom	SMD	
V304	TP201,TP309	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode			V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	57.12	66.03	90	Top	SMD	
V305	TP201,TP310	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode			V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	56.9	55.64	270	Top	SMD	
V306	TP201,TP323	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode	Unplaced		V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	56.9	48.1	90	Top	SMD	
V307	TP201,TP324	A5Q00004548/01;1-DIO_PROT-UNI-DIR_TVS_36V_100A_SMB_SMD x 9		A5Q00004548	Diode	Unplaced		V151,V217,V224,V304-V305	V151,V214,V217,V224-V225,V304-V307	DO214AA_SMB	2.65	56.9	37.3	270	Top	SMD	
V400	TP204,TP400,TP226	A5Q20006720/A;1-TRANS_NPN_60V_1A_SOT-089_SMD x 1		A5Q20006720	Transistor			V400	V400	SOT89	1.6	42.2	9.9	270	Top	SMD	
V401	TP201,TP400	A5Q00007861/01;1-DIO_ZENER_BZX84_12V_+-2%_SOT-023_SMD x 2		A5Q00007861	Diode			V142,V401	V142,V401	SOT23	1.26	40.4	14.5	180	Top	SMD	
X400		A5Q20009509/A;1-TERMINAL_PCB_SCREW_OTHER_THD x 1		A5Q20009509	Connector			X400	X400	TERMBL_2_90_8.25_B-to-W_18.9x13	13.72	10.4	10.2	270	Top	THT-THR	
X401		A5Q20009729/A01;1-CON_B-to-W_5MM_FEMALE_12P_THD x 1		A5Q20009729	Connecror			X401	X401	TERMBL_12_90_5_60.5x7.9_DG	10.3	70.6	41	90	Top	THT-THR	
X402		A5Q20009730/A01;1-CON_B-to-W_5MM_FEMALE_8P_THD x 1		A5Q20009730	Connecror			X402	X402	TERMBL_8_90_5_40.5x7.9_DG	10.3	3.4	40.66	270	Top	THT-THR	
Z100	TP152,TP156	A5Q00003514/01;1-BEAD_FERRITE_EMI_SUPPRESSION_330R @ 100MHZ x 1		A5Q00003514	Filter			Z100	Z100	FIL_0805	1.1	49.3	55.3	270	Top	SMD	
V154	TP105,TP106,TP102,TP107,TP106,TP100	A5Q00002665/01;1-TRANS_FET_S_N_60V_2.6A_0R1_SO-08_SMD x 1		A5Q00002665	Mosfet			V154	V154								
